 + TIC Scan DR_328.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
19,28.985,29.032,29.089,2681.67,6953.51,0.06,0.08,0.01,0.104,0.044,2865.61,2631,28.879,29.013,29.14,29.337,2865.61,2579.54,0.98,5418,,,  ,73,,,,,,,,,,
20,29.484,29.567,29.681,2682.58,14515.24,0.12,0.08,0.01,0.197,0.092,2681.1,2822,29.14,29.337,29.7,29.955,2681.1,2662.79,2.55,5356,,,  ,43,,,,,,,,,,
21,29.953,30.025,30.165,89164.16,474209.4,3.94,2.57,0.46,0.212,0.077,2806.19,11967,29.7,29.955,30.145,30.171,2806.19,2872.98,2.94,91993,,,  ,55.1,,,,,,,,,,
22,30.165,30.203,30.413,16321.99,92945.61,0.77,0.47,0.09,0.248,0.107,11967,3152,30.145,30.171,30.349,30.432,2872.98,2951.22,2.52,19207,,,  ,57.1,,,,,,,,,,
23,30.413,30.476,30.583,12669.68,48420.43,0.4,0.37,0.05,0.171,0.053,3152,3010.05,30.349,30.432,30.591,30.743,2949.93,3010.05,1.46,15642,,,  ,43.1,,,,,,,,,,
24,30.731,30.769,30.813,2200.17,6471.87,0.05,0.06,0.01,0.083,0.049,1953,2477,30.591,30.743,30.852,30.903,1953,2477,2.55,4395,,,  ,70.1,,,,,,,,,,
25,30.929,30.992,31.157,1494745.73,7653402.75,63.54,43.1,7.46,0.228,0.065,5002.01,231703,30.852,30.903,31.144,31.163,5002.01,29794.85,4.36,1506534,,,  ,55.1,,,,,,,,,,
26,31.157,31.195,31.278,334154.7,1332986.03,11.07,9.64,1.3,0.121,0.061,231703,139209,31.144,31.163,31.265,31.284,74308.26,68456.1,1.75,406615,,,  ,55.1,,,,,,,,,,
27,31.278,31.316,31.437,141958.67,558227.48,4.63,4.09,0.54,0.159,0.082,139209,61489,31.265,31.284,31.462,31.564,68456.1,60755.17,1.3,208566,,,  ,55.1,,,,,,,,,,
28,31.539,31.577,31.615,7497.52,18638.98,0.15,0.22,0.02,0.076,0.096,56672,53578,31.462,31.564,31.596,31.615,55833.1,52151.85,0.25,61490,,,  ,55.1,,,,,,,,,,
29,31.615,31.685,31.806,1246099.17,3611407.82,29.98,35.93,3.52,0.191,0.043,53578,51487,31.596,31.615,32.194,32.264,52151.85,42947.11,0.93,1294876,,,  ,57.1,,,,,,,,,,
30,32.255,32.277,32.306,2927.54,5260.77,0.04,0.08,0.01,0.051,0.03,21796.27,21268.61,32.194,32.264,32.678,32.786,21796.27,21268.61,1.18,24497,,,  ,57,,,,,,,,,,
31,32.784,32.837,32.982,38583.46,186636.6,1.55,1.11,0.18,0.198,0.078,10630.24,14369.28,32.678,32.786,32.97,33.04,10630.24,14369.28,3.13,50210,,,  ,57.1,,,,,,,,,,
32,33.036,33.078,33.153,18789.85,69780.64,0.58,0.54,0.07,0.117,0.059,14273.2,13437.29,32.97,33.04,33.161,33.174,14273.2,13437.29,1.85,32764,,,  ,43,,,,,,,,,,
33,33.168,33.225,33.263,10855.45,34489.79,0.29,0.31,0.03,0.095,0.052,13335.17,15639,33.161,33.174,33.25,33.269,13335.17,12655.8,0.83,23784,,,  ,55.1,,,,,,,,,,
34,33.263,33.314,33.403,55727.93,169481.78,1.41,1.61,0.17,0.14,0.046,15639,12017,33.25,33.269,33.409,33.447,12655.8,11655.58,1.27,68020,,,  ,57.1,,,,,,,,,,
35,33.441,33.505,33.804,277580.49,1570250.77,13.04,8,1.53,0.363,0.075,10385,15323,33.409,33.447,33.975,34.058,10363.98,9460.68,3.44,287786,,,  ,57.1,,,,,,,,,,
36,34.37,34.453,34.529,275051.6,962506.93,7.99,7.93,0.94,0.159,0.049,25074,34289,34.141,34.338,34.522,34.529,8057.02,8921.1,1.42,283558,,,  ,55.1,,,,,,,,,,
37,34.529,34.573,34.739,128177.96,477247.74,3.96,3.7,0.47,0.21,0.055,34289,10297,34.522,34.529,34.694,34.764,8921.1,10061.72,1.35,137341,,,  ,43.1,,,,,,,,,,
38,34.802,34.879,35.038,1628547.51,5200519.79,43.18,46.96,5.07,0.235,0.046,15927,28634,34.694,34.764,35.267,35.356,9585.12,10397.13,1.18,1638396,,,  ,57.1,,,,,,,,,,
39,35.364,35.426,35.582,40168.31,186066.86,1.54,1.16,0.18,0.218,0.071,9664.87,8405.3,35.267,35.356,35.566,35.617,9664.87,8405.3,1.56,49477,,,  ,57.1,,,,,,,,,,
40,35.611,35.661,35.738,4694.87,17588.71,0.15,0.14,0.02,0.127,0.054,8025.74,7662,35.566,35.617,35.776,35.839,8025.74,7441.66,1.41,12489,,,  ,43.1,,,,,,,,,,
41,35.95,35.998,36.088,26543.5,108400.41,0.9,0.77,0.11,0.137,0.064,14011.5,14332,35.776,35.839,36.081,36.119,14011.5,14011.5,1.65,40555,,,  ,57.1,,,,,,,,,,
42,36.224,36.253,36.329,17588.42,58667.23,0.49,0.51,0.06,0.106,0.056,13803.09,15479,36.183,36.215,36.31,36.336,13803.09,12920.04,3.12,31147,,,  ,55.1,,,,,,,,,,
43,36.329,36.387,36.488,106278.76,349734.02,2.9,3.06,0.34,0.159,0.05,15479,11840,36.31,36.336,36.514,36.565,12920.04,11589.86,1.45,118720,,,  ,57.1,,,,,,,,,,
44,36.573,36.628,36.832,196095.71,1002483.08,8.32,5.65,0.98,0.259,0.073,11760.43,14450,36.514,36.565,36.806,36.851,11760.43,10883.6,2.87,207668,,,  ,57.1,,,,,,,,,,
45,36.832,36.876,36.94,7496.05,30038.11,0.25,0.22,0.03,0.108,0.081,14450,10881,36.806,36.851,36.953,37.023,10883.6,10517.69,0.86,18229,,,  ,57.1,,,,,,,,,,
46,37.097,37.137,37.175,5466.5,13131.77,0.11,0.16,0.01,0.078,0.045,9673.52,10096,37.067,37.105,37.188,37.22,9673.52,9975.81,1.11,15295,,,  ,55.1,,,,,,,,,,
47,37.225,37.258,37.29,4610.99,9132.51,0.08,0.13,0.01,0.065,0.034,10165.27,10606,37.188,37.22,37.284,37.322,10165.27,10417.81,0.99,14906,,,  ,55.1,,,,,,,,,,
48,37.347,37.462,37.525,318897.23,1302147.01,10.81,9.2,1.27,0.178,0.055,16374,91298,37.284,37.322,37.519,37.532,10638.84,11326.37,0.95,329978,,,  ,57.1,,,,,,,,,,
49,37.525,37.576,37.71,247340.24,962334.36,7.99,7.13,0.94,0.184,0.057,91298,16673,37.519,37.532,37.684,37.723,11326.37,12038.41,1.13,258863,,,  ,55.1,,,,,,,,,,
50,37.761,37.856,37.977,3467784.99,11011216.57,91.42,100,10.73,0.216,0.047,29383,55084,37.684,37.723,38.181,38.238,13088.29,14341.14,0.65,3481426,,,  ,57.1,,,,,,,,,,
51,38.228,38.308,38.501,95737.1,510278.74,4.24,2.76,0.5,0.273,0.075,15617.47,12975.28,38.181,38.238,38.562,38.632,15617.47,12975.28,2.12,110581,,,  ,57.1,,,,,,,,,,
52,38.63,38.69,38.812,2964.44,15896.72,0.13,0.09,0.02,0.182,0.213,12093.65,11092.9,38.562,38.632,38.76,38.836,12093.65,11092.9,0.75,14730,,,  ,57,,,,,,,,,,
